Player,,points,QF,SF,F,W
Nadal,1,1,0.00018,0.0,0.0
Cilic,,1982,0.99982,0.84325,0.16586
Dimitrov,Q,1,0.00108,0.0,0.0
Edmund,,429,0.99892,0.15675,0.00937
Sandgren,W,250,0.27426,0.00697,0.00101
Chung,,605,0.72574,0.04479,0.0117
Berdych,,871,0.05996,0.03949,0.01438
Federer,31,10433,0.94004,0.90875,0.79768
